"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"G","Dinomyidae","Dinomys","N3621",16.78896589,"N3621",16.78896589,1,1,"Dinomys_branickii"
"G","Chinchillidae","Lagostomus","N3622",-144.7183092302,"N3623",1.315420557,1,2,""
"G","Chinchillidae","Lagidium","N3624",-153.7758651272,"N3625",4.0000877544,1,4,""
"G","Chinchillidae","Chinchilla","N3624",-153.7758651272,"N3628",1.220592545,1,2,""
"G","Echimyidae","Trinomys","N3633",-145.2472148665,"N3634",11.733121744,1,6,""
"G","Echimyidae","Thrichomys","N3641",-156.4030241277,"N3642",2.29146547377,1,3,""
"G","Echimyidae","Euryzygomatomys","N3647",5.598614372,"N3647",5.598614372,1,1,"Euryzygomatomys_spinosus"
"G","Echimyidae","Clyomys","N3647",-153.1581708315,"N3648",0.7071164039,1,2,""
"G","Echimyidae","Callistomys","N3651",10.87116404,"N3651",10.87116404,1,1,"Callistomys_pictus"
"G","Echimyidae","Hoplomys","N3652",7.388307429,"N3652",7.388307429,1,1,"Hoplomys_gymnurus"
"G","Echimyidae","Proechimys","N3652",-151.3684754765,"N3653",7.1193046722,1,25,""
"G","Myocastoridae","Myocastor","N3678",11.04991446,"N3678",11.04991446,1,1,"Myocastor_coypus"
"G","Echimyidae","Isothrix","N3678",-147.7068693692,"N3679",4.4589919167,1,6,""
"G","Echimyidae","Lonchothrix","N3686",0.614971683,"N3686",0.614971683,1,1,"Lonchothrix_emiliae"
"G","Echimyidae","Mesomys","N3685",-150.3093073762,"N3687",5.14647799,1,4,""
"G","Echimyidae","Pattonomys","N3692",-152.3798336302,"N3693",5.922363671,1,2,""
"G","Echimyidae","Toromys","N3692",-152.3798336302,"N3694",3.004580102,1,2,""
"G","Echimyidae","Phyllomys","N3696",-152.3283238692,"N3697",5.204786801,1,13,""
"G","Echimyidae","Echimys","N3696",-152.3283238692,"N3709",4.417078773,1,3,""
"G","Echimyidae","Makalata","N3695",-151.2329106462,"N3711",3.1282526879,1,3,""
"G","Echimyidae","Dactylomys","N3714",-152.5412826772,"N3715",2.215631598,1,3,""
"G","Echimyidae","Olallamys","N3717",-152.7079061078,"N3718",5.266350741,1,2,""
